Time,Primary,Secondary,LED
0.0,-51.513671875,-40.34423828125,-0.00030517578125
0.0001,-60.05859375,-40.313720703125,0.0
0.0002,-57.861328125,-40.34423828125,0.0
0.0003,-57.7392578125,-40.4052734375,0.00030517578125
0.0004,-58.2275390625,-40.313720703125,-0.00030517578125
0.0005,-58.4716796875,-40.283203125,0.00030517578125
0.0006,-57.6171875,-40.283203125,0.0
0.0007,-55.908203125,-40.313720703125,0.0
0.0008,-50.4150390625,-40.374755859375,0.0
0.0009,-57.6171875,-40.4052734375,0.00030517578125
0.001,-53.7109375,-40.283203125,0.0
0.0011,-57.12890625,-40.283203125,0.00030517578125
0.0012,-58.9599609375,-40.4052734375,0.0006103515625
0.0013,-52.3681640625,-40.374755859375,0.0
0.0014,-57.7392578125,-40.4052734375,-0.00030517578125
0.0015,-53.7109375,-40.374755859375,0.0006103515625
0.0016,-60.6689453125,-40.283203125,0.0
0.0017,-57.2509765625,-40.313720703125,0.00030517578125
0.0018,-55.5419921875,-40.435791015625,0.0
0.0019,-56.5185546875,-40.374755859375,0.00030517578125
0.002,-57.2509765625,-40.34423828125,0.00030517578125
0.0021000000000000003,-54.3212890625,-40.34423828125,-0.00030517578125
0.0022,-58.349609375,-40.283203125,0.0
0.0023,-57.7392578125,-40.283203125,0.0
0.0024,-55.0537109375,-40.374755859375,-0.00030517578125
0.0025,-53.3447265625,-40.4052734375,-0.00030517578125
0.0026,-56.2744140625,-40.313720703125,0.00030517578125
0.0027,-51.26953125,-40.313720703125,0.0
0.0028,-57.0068359375,-40.313720703125,0.00030517578125
0.0029,-59.5703125,-40.46630859375,0.0
0.003,-51.26953125,-40.374755859375,-0.0006103515625
0.0031,-56.0302734375,-40.34423828125,0.00030517578125
0.0032,-57.4951171875,-40.313720703125,0.00030517578125
0.0033,-57.373046875,-40.34423828125,-0.00030517578125
0.0034,-55.5419921875,-40.4052734375,-0.00030517578125
0.0035,-57.4951171875,-40.34423828125,-0.00030517578125
0.0036,-51.26953125,-40.283203125,-0.00030517578125
0.0037,-57.2509765625,-40.34423828125,-0.0006103515625
0.0038,-54.5654296875,-40.34423828125,-0.00030517578125
0.0039,-56.7626953125,-40.34423828125,0.00030517578125
0.004,-54.8095703125,-40.4052734375,-0.00030517578125
0.0040999999999999995,-56.396484375,-40.374755859375,0.0
0.004200000000000001,-58.10546875,-40.34423828125,0.00030517578125
0.0043,-54.5654296875,-40.22216796875,-0.00030517578125
0.0044,-51.8798828125,-40.313720703125,0.00030517578125
0.0045,-54.931640625,-40.4052734375,0.0
0.0046,-51.26953125,-40.283203125,0.00030517578125
0.0047,-60.4248046875,-40.34423828125,0.00030517578125
0.0048,-57.6171875,-40.283203125,0.00030517578125
0.004900000000000001,-54.6875,-40.313720703125,0.00030517578125
0.005,-57.2509765625,-40.313720703125,-0.00030517578125
0.0050999999999999995,-53.3447265625,-40.374755859375,-0.00030517578125
0.0052,-57.7392578125,-40.4052734375,0.0
0.0053,-58.9599609375,-40.34423828125,-0.0006103515625
0.0054,-51.7578125,-40.252685546875,-0.00030517578125
0.0055,-50.1708984375,-40.313720703125,0.0
0.0056,-54.8095703125,-40.374755859375,-0.00030517578125
0.0057,-53.22265625,-40.313720703125,0.0
0.0058,-57.6171875,-40.435791015625,-0.00030517578125
0.005900000000000001,-60.9130859375,-40.34423828125,-0.0006103515625
0.006,-56.2744140625,-40.435791015625,-0.00091552734375
0.0060999999999999995,-58.9599609375,-40.283203125,0.00030517578125
0.0062,-59.4482421875,-40.283203125,0.00030517578125
0.0063,-62.5,-40.252685546875,-0.00030517578125
0.0064,-52.1240234375,-40.283203125,-0.00091552734375
0.0065,-53.22265625,-40.313720703125,-0.00030517578125
0.0066,-56.2744140625,-40.313720703125,0.00030517578125
0.0067,-58.349609375,-40.374755859375,0.0006103515625
0.0068,-54.3212890625,-40.313720703125,-0.00030517578125
0.006900000000000001,-50.537109375,-40.252685546875,0.0
0.007,-53.1005859375,-40.313720703125,0.00030517578125
0.0070999999999999995,-55.0537109375,-40.313720703125,-0.00030517578125
0.0072,-53.5888671875,-40.435791015625,-0.00030517578125
0.0073,-53.3447265625,-40.4052734375,-0.00030517578125
0.0074,-55.5419921875,-40.34423828125,-0.00030517578125
0.0075,-56.7626953125,-40.4052734375,-0.00030517578125
0.0076,-53.466796875,-40.313720703125,-0.00030517578125
0.0077,-57.0068359375,-40.283203125,-0.0006103515625
0.0078,-49.9267578125,-40.4052734375,-0.00030517578125
0.0079,-53.7109375,-40.34423828125,0.0
0.008,-54.931640625,-40.4052734375,-0.00030517578125
0.0081,-53.3447265625,-40.435791015625,-0.00030517578125
0.008199999999999999,-55.0537109375,-40.313720703125,-0.00030517578125
